timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1697142600,Oct 12 2023 - 8:30pm,complete,N/A,Colombia,Uruguay,Piero Maza Gomez,3,2.00,1.50,1.38,1.50,2,2,4,1,1,0,"35,52","47,90'1",3,2,1,1,0,0,1,1,0,0,9,13,4,6,5,7,17,10,49,51,1.09,1.19,1.17,1.53,2.00,50,50,50,25,0,50,50,25,75,5.00,6.00,1.91,3.30,3.75,1.42,2.18,4.33,9.00,2.00,1.75,Estadio Metropolitano Roberto Meléndez
1697151600,Oct 12 2023 - 11:00pm,complete,N/A,Bolivia,Ecuador,Cristián Garay,3,0.00,1.50,1.06,1.75,1,2,3,1,0,1,"83","45,90'6",5,0,1,0,0,0,0,1,0,0,13,7,5,4,8,3,8,7,46,54,0.52,1.09,1.16,0.73,3.25,50,75,75,25,25,50,75,25,100,7.00,5.00,5.25,3.50,1.70,1.33,2.25,3.60,7.00,2.20,1.62,N/A
1697151600,Oct 12 2023 - 11:00pm,complete,N/A,Argentina,Paraguay,Raphael Claus,3,3.00,0.50,2.19,1.50,1,0,1,1,1,0,"3","",9,1,1,0,2,0,1,0,1,1,11,2,4,1,7,1,10,19,75,25,1.56,1.76,1.49,0.29,1.25,0,25,25,0,0,25,25,0,75,12.00,2.50,1.22,6.00,13.00,1.25,1.75,3.10,6.00,2.63,1.44,Estadio Monumental Antonio Vespucio Liberti
1697155200,Oct 13 2023 - 12:00am,complete,N/A,Chile,Peru,Wilmar Alexander Roldán Pérez,3,0.50,0.50,0.63,0.75,2,0,2,0,0,0,"74,90'1","",8,6,2,0,2,0,0,2,1,1,13,3,7,0,6,3,10,16,64,36,0.89,0.41,1.69,0.65,1.25,25,25,25,25,0,25,25,25,50,7.00,6.00,1.70,3.50,6.00,1.44,2.40,4.50,9.50,2.38,1.53,Nacional
1697157000,Oct 13 2023 - 12:30am,complete,40020,Brazil,Venezuela,Kevin Ortega,3,3.00,1.50,1.56,1.13,1,1,2,0,0,0,"50","85",7,5,2,0,2,0,0,2,2,0,10,7,6,2,4,5,13,11,70,30,1.62,0.84,1.54,0.81,2.25,25,25,25,25,25,0,25,25,100,10.50,3.50,1.08,11.00,23.00,1.15,1.44,2.22,4.00,3.25,1.33,N/A
1697576400,Oct 17 2023 - 9:00pm,complete,N/A,Venezuela,Chile,Flavio Rodrigues De Souza,4,1.33,1.33,1.13,0.63,3,0,3,1,1,0,"45'1,72,79","",2,3,1,0,2,1,0,1,0,3,10,7,6,1,4,6,14,13,42,58,0.83,1.16,1.29,0.76,1.67,33,50,17,17,0,17,17,50,84,11.00,4.67,2.65,2.90,2.55,1.45,2.30,4.75,10.00,2.00,1.75,Estadio Monumental de Maturín
1697581800,Oct 17 2023 - 10:30pm,complete,N/A,Paraguay,Bolivia,Gustavo Tejera,4,0.33,0.00,1.50,1.06,1,0,1,0,0,0,"69","",8,1,2,0,5,0,1,1,3,2,11,5,7,0,4,5,12,12,62,38,1.27,0.74,1.66,0.48,2.34,34,50,50,17,17,17,67,34,67,8.00,4.67,1.30,5.00,11.00,1.25,1.85,3.10,6.00,2.20,1.62,General Pablo Rojas
1697585400,Oct 17 2023 - 11:30pm,complete,N/A,Ecuador,Colombia,Facundo Tello Figueroa,4,2.00,1.67,1.75,1.38,0,0,0,0,0,0,"","",3,6,2,0,4,0,2,0,3,1,8,4,3,3,5,1,15,17,54,46,0.97,1.12,0.94,0.69,2.00,50,50,50,17,0,17,50,33,84,6.67,3.33,2.10,3.10,4.00,1.50,2.60,4.50,9.50,2.20,1.62,Estadio de Liga Deportiva Universitaria
1697587200,Oct 18 2023 - 12:00am,complete,N/A,Uruguay,Brazil,Alexis Herrera,4,1.33,2.33,1.50,1.56,2,0,2,1,1,0,"42,77","",2,2,3,0,5,0,2,1,1,4,4,2,2,0,2,2,18,16,39,61,1.30,1.59,0.61,0.42,3.34,84,84,67,50,17,34,67,67,100,8.00,4.00,4.50,3.40,1.91,1.37,2.10,4.06,8.00,1.95,1.80,Estadio Centenario
1697594400,Oct 18 2023 - 2:00am,complete,N/A,Peru,Argentina,Jesús Valenzuela Sáez,4,0.33,3.00,0.75,2.19,0,2,2,2,0,2,"","32,42",1,1,2,0,0,0,1,1,0,0,4,8,0,6,4,2,19,10,34,66,0.49,1.53,0.46,1.13,1.34,0,33,17,0,0,17,34,17,67,9.34,3.34,8.50,4.33,1.40,1.36,2.25,4.00,8.00,2.50,1.50,Estadio Nacional de Lima
1700164800,Nov 16 2023 - 8:00pm,complete,N/A,Bolivia,Peru,Guillermo Enrique Guerrero Alcivar,5,0.00,0.25,1.06,0.75,2,0,2,1,1,0,"20,87","",4,3,2,0,4,0,2,0,1,3,11,3,5,2,6,1,16,6,45,55,0.67,0.48,1.31,0.70,2.25,25,63,38,13,13,25,50,38,75,5.00,5.75,2.05,3.00,3.40,1.45,2.20,4.50,9.50,2.10,1.67,N/A
1700172000,Nov 16 2023 - 10:00pm,complete,N/A,Venezuela,Ecuador,Juan Gabriel Benítez,5,1.75,1.75,1.13,1.75,0,0,0,0,0,0,"","",4,3,2,0,3,0,1,1,2,1,5,5,2,1,3,4,8,14,50,50,0.95,0.96,0.68,0.55,1.75,38,50,38,0,0,13,38,38,88,8.25,3.00,2.80,2.88,2.88,1.50,3.10,4.75,10.00,2.25,1.57,Estadio Monumental de Maturín
1700179200,Nov 17 2023 - 12:00am,complete,N/A,Colombia,Brazil,Andrés Matonte,5,1.50,1.75,1.38,1.56,2,1,3,1,0,1,"75,79","4",3,7,1,0,2,0,1,0,0,2,18,11,10,3,8,8,16,12,40,60,1.01,1.30,2.23,1.20,2.00,38,50,25,25,13,0,38,38,75,8.25,5.25,3.50,3.20,2.25,1.50,2.50,4.75,10.00,2.10,1.67,Estadio Metropolitano Roberto Meléndez
1700179200,Nov 17 2023 - 12:00am,complete,N/A,Argentina,Uruguay,Wilmar Alexander Roldán Pérez,5,3.00,1.75,2.19,1.50,0,2,2,1,0,1,"","41,87",8,1,4,0,3,0,1,3,1,2,6,4,3,2,3,2,11,22,63,37,1.43,1.13,0.98,0.62,2.50,38,75,50,25,0,50,88,25,75,6.75,3.00,1.53,3.80,7.00,1.36,2.15,3.75,7.50,2.20,1.62,Estadio Monumental Antonio Vespucio Liberti
1700181000,Nov 17 2023 - 12:30am,complete,N/A,Chile,Paraguay,Fernando Rapallini,5,1.00,1.00,0.63,1.50,0,0,0,0,0,0,"","",7,1,2,1,3,1,1,2,2,2,11,10,5,3,6,7,8,18,71,29,1.06,1.37,1.60,0.99,1.50,13,38,25,13,0,13,38,38,63,11.25,4.75,1.67,3.60,5.75,1.48,2.40,5.00,11.00,2.38,1.53,Nacional
1700607600,Nov 21 2023 - 11:00pm,complete,N/A,Paraguay,Colombia,Jesús Valenzuela Sáez,6,1.00,1.80,1.50,1.38,0,1,1,1,0,1,"","11",4,3,2,0,4,0,1,1,2,2,7,11,2,4,5,7,10,14,41,59,1.29,1.25,0.99,1.31,1.10,20,20,20,10,0,0,30,20,50,8.60,5.00,3.50,2.90,2.30,1.50,2.50,4.50,9.50,2.05,1.70,General Pablo Rojas
1700609400,Nov 21 2023 - 11:30pm,complete,N/A,Ecuador,Chile,Anderson Daronco,6,1.60,1.00,1.75,0.63,1,0,1,1,1,0,"21","",5,4,2,0,2,0,1,1,1,1,11,7,5,3,6,4,13,14,53,47,0.88,1.17,1.28,0.83,1.60,30,50,40,10,0,20,40,40,60,9.00,4.60,1.55,3.80,6.00,1.42,2.35,4.33,9.00,2.50,1.50,Estadio de Liga Deportiva Universitaria
1700609400,Nov 21 2023 - 11:30pm,complete,N/A,Uruguay,Bolivia,Kevin Ortega,6,2.00,0.60,1.50,1.06,2,1,3,2,1,1,"15,71","39",7,1,0,0,2,0,0,0,0,2,14,3,4,0,10,3,10,11,69,31,1.03,0.80,1.59,0.28,3.00,50,90,60,30,10,30,90,40,100,4.40,5.60,1.07,11.00,29.00,1.13,1.40,2.16,3.60,2.75,1.40,Estadio Centenario
1700613000,Nov 22 2023 - 12:30am,complete,N/A,Brazil,Argentina,Piero Maza Gomez,6,1.40,2.40,1.56,2.19,0,1,1,0,0,0,"","63",4,3,3,1,0,0,3,1,0,0,5,4,4,2,1,2,26,16,50,50,1.28,1.34,1.01,0.52,2.30,30,70,30,10,10,20,70,30,80,10.40,3.60,2.45,3.00,3.20,1.51,2.60,5.00,10.00,2.10,1.67,N/A
1700618400,Nov 22 2023 - 2:00am,complete,N/A,Peru,Venezuela,Darío Herrera,6,0.20,1.60,0.75,1.13,1,1,2,1,1,0,"17","54",2,4,2,0,3,0,1,1,2,1,9,7,5,3,4,4,19,18,47,53,0.52,0.89,1.13,1.02,1.40,10,50,10,0,0,10,30,30,70,7.40,4.60,2.45,2.90,3.30,1.55,2.88,5.50,11.00,2.25,1.57,Estadio Nacional de Lima
1725566400,Sep 05 2024 - 8:00pm,complete,N/A,Bolivia,Venezuela,Wilmar Alexander Roldán Pérez,7,0.50,1.50,1.06,1.13,4,0,4,2,2,0,"13,45'5,46,89","",2,5,3,0,2,0,2,1,0,2,15,9,8,3,7,6,13,9,57,43,0.71,0.91,1.72,1.10,2.25,42,67,42,9,9,17,58,33,92,6.50,4.83,2.00,3.40,3.80,1.35,2.25,3.75,7.50,2.00,1.75,Estadio Municipal El Alto
1725580800,Sep 06 2024 - 12:00am,complete,N/A,Argentina,Chile,Jesús Valenzuela Sáez,7,2.50,0.83,2.19,0.63,3,0,3,0,0,0,"48,84,90'1","",4,4,2,0,3,0,1,1,2,1,13,3,8,1,5,2,8,14,65,35,1.21,1.11,1.77,0.48,1.67,9,50,25,9,0,25,59,25,59,10.00,3.83,1.29,5.00,13.00,1.30,2.05,3.40,6.50,2.75,1.40,Estadio Monumental Antonio Vespucio Liberti
1725665400,Sep 06 2024 - 11:30pm,complete,N/A,Uruguay,Paraguay,Darío Herrera,7,2.17,0.83,1.50,1.50,0,0,0,0,0,0,"","",8,0,4,0,2,0,1,3,2,0,7,7,1,3,6,4,13,11,65,35,1.12,1.24,0.99,0.83,1.84,34,50,34,17,0,25,67,17,67,7.83,4.67,1.45,4.10,8.00,1.28,2.10,3.20,6.00,2.25,1.57,N/A
1725670800,Sep 07 2024 - 1:00am,complete,N/A,Brazil,Ecuador,Facundo Tello Figueroa,7,1.17,1.83,1.56,1.75,1,0,1,1,1,0,"30","",4,2,1,0,0,0,0,1,0,0,6,8,3,2,3,6,8,17,57,43,1.24,0.95,0.87,0.75,1.92,42,50,33,9,9,9,50,34,75,8.83,4.50,1.36,4.50,10.00,1.30,1.95,3.40,6.50,2.25,1.57,Estádio Major Antônio Couto Pereira
1725672600,Sep 07 2024 - 1:30am,complete,N/A,Peru,Colombia,Esteban Ostojich,7,0.33,2.00,0.75,1.38,1,1,2,0,0,0,"68","82",5,10,0,0,2,0,0,0,1,1,6,13,3,5,3,8,9,13,31,69,0.63,1.26,0.80,1.59,1.50,25,50,17,9,0,9,50,25,59,6.16,5.34,5.75,3.10,1.80,1.40,2.88,4.00,8.50,2.63,1.44,Estadio Nacional de Lima
1726000200,Sep 10 2024 - 8:30pm,complete,N/A,Colombia,Argentina,Piero Maza Gomez,8,1.86,2.57,1.38,2.19,2,1,3,1,1,0,"25,60","48",2,4,2,0,2,0,0,2,1,1,9,10,5,1,4,9,8,10,47,53,1.31,1.29,1.13,0.91,1.72,22,50,29,7,0,15,50,29,64,9.00,3.71,2.88,2.90,2.70,1.50,2.88,5.50,11.00,2.25,1.57,Estadio Metropolitano Roberto Meléndez
1726002000,Sep 10 2024 - 9:00pm,complete,N/A,Ecuador,Peru,Andrés José Rojas Noguera,8,1.57,0.43,1.75,0.75,1,0,1,0,0,0,"54","",8,0,1,0,4,0,0,1,3,1,7,2,4,1,3,1,20,9,69,31,0.92,0.65,1.09,0.35,1.43,29,50,15,0,0,14,50,22,57,6.71,3.72,1.40,3.90,10.00,1.29,2.40,3.40,6.50,3.00,1.36,Estadio de Liga Deportiva Universitaria
1726002000,Sep 10 2024 - 9:00pm,complete,N/A,Chile,Bolivia,Juan Gabriel Benítez,8,0.71,0.86,0.63,1.06,1,2,3,3,1,2,"39","13,45'1",10,2,4,0,3,0,2,2,2,1,15,3,5,2,10,1,11,10,75,25,1.02,0.86,1.89,0.42,2.50,29,72,57,22,7,29,65,50,79,7.14,5.72,1.25,6.00,12.00,1.22,1.67,3.10,6.00,2.38,1.53,Nacional
1726005600,Sep 10 2024 - 10:00pm,complete,N/A,Venezuela,Uruguay,Raphael Claus,8,1.29,2.00,1.13,1.50,0,0,0,0,0,0,"","",5,5,3,0,4,0,1,2,1,3,13,4,6,2,7,2,7,17,45,55,0.94,1.10,1.64,0.66,2.22,43,72,43,22,0,29,65,36,86,8.00,4.43,3.25,3.00,2.45,1.47,2.70,4.80,9.00,2.10,1.67,Estadio Monumental de Maturín
1726014600,Sep 11 2024 - 12:30am,complete,N/A,Paraguay,Brazil,Andrés Matonte,8,0.86,1.43,1.50,1.56,1,0,1,1,1,0,"20","",4,6,4,0,2,0,2,2,1,1,4,9,3,3,1,6,13,8,29,71,1.18,1.18,0.66,1.23,1.43,22,29,15,7,7,0,43,22,58,9.15,5.00,7.00,3.90,1.53,1.40,2.20,4.50,9.00,2.25,1.57,Estadio La Asunción
1728590400,Oct 10 2024 - 8:00pm,complete,N/A,Bolivia,Colombia,Wilton Pereira Sampaio,9,1.13,2.00,1.06,1.38,1,0,1,0,0,0,"58","",5,9,1,1,1,0,1,1,0,1,11,18,8,9,3,9,9,8,35,65,0.80,1.29,1.42,2.18,2.44,50,69,57,19,7,25,69,44,76,6.13,5.38,3.30,3.20,2.30,1.40,2.40,4.20,8.50,2.05,1.70,Estadio Municipal El Alto
1728594000,Oct 10 2024 - 9:00pm,complete,N/A,Ecuador,Paraguay,Raphael Claus,9,1.75,1.13,1.75,1.50,0,0,0,0,0,0,"","",4,3,1,0,1,0,1,0,0,1,11,2,5,2,6,0,6,10,77,23,0.94,1.12,1.51,0.46,0.94,13,13,13,0,0,7,44,7,38,8.38,4.01,1.53,3.60,9.00,1.50,2.70,5.25,10.00,2.75,1.40,Estadio de Liga Deportiva Universitaria
1728594000,Oct 10 2024 - 9:00pm,complete,N/A,Venezuela,Argentina,Gustavo Tejera,9,1.25,2.25,1.13,2.19,1,1,2,1,0,1,"65","13",8,4,1,0,1,0,1,0,0,1,10,6,7,4,3,2,20,13,40,60,1.03,1.24,1.46,0.97,1.82,19,57,32,7,0,19,51,32,75,9.13,3.38,6.25,3.70,1.62,1.35,2.35,3.85,8.00,2.25,1.57,Estadio Monumental de Maturín
1728604800,Oct 11 2024 - 12:00am,complete,N/A,Chile,Brazil,Darío Herrera,9,0.63,1.25,0.63,1.56,1,2,3,2,1,1,"2","45'1,89",4,7,2,0,2,0,1,1,1,1,6,8,1,4,5,4,14,12,29,71,1.13,1.19,0.66,1.12,2.07,32,57,38,13,7,13,57,44,63,10.63,5.50,5.50,3.90,1.55,1.33,2.09,3.55,7.00,2.38,1.53,Nacional
1728696600,Oct 12 2024 - 1:30am,complete,N/A,Peru,Uruguay,Facundo Tello Figueroa,9,0.38,1.88,0.75,1.50,1,0,1,0,0,0,"88","",5,2,0,0,1,0,0,0,0,1,5,5,3,3,2,2,17,7,38,62,0.61,1.05,0.79,0.83,1.88,38,69,25,13,0,26,57,25,75,6.50,5.13,5.10,3.13,1.93,1.50,2.40,5.50,12.00,2.38,1.53,Estadio Nacional de Lima
1729024200,Oct 15 2024 - 8:30pm,complete,N/A,Colombia,Chile,Jesús Valenzuela Sáez,10,1.78,0.56,1.38,0.63,4,0,4,1,1,0,"34,52,82,90'3","",5,2,2,0,2,0,1,1,0,2,13,7,9,2,4,5,16,15,62,38,1.39,1.08,1.95,0.79,1.89,39,56,45,11,0,17,50,44,62,10.00,5.22,1.36,4.50,10.00,1.42,2.20,4.50,9.50,2.63,1.44,Estadio Metropolitano Roberto Meléndez
1729033200,Oct 15 2024 - 11:00pm,complete,N/A,Paraguay,Venezuela,Piero Maza Gomez,10,1.11,1.22,1.50,1.13,2,1,3,1,0,1,"59,74","25",5,1,2,0,6,0,1,1,3,3,10,5,6,3,4,2,10,17,61,39,1.05,1.08,1.38,0.70,1.12,17,28,11,6,0,6,39,17,50,9.00,4.44,2.10,3.00,4.00,1.57,3.10,5.00,11.00,2.50,1.50,Estadio La Asunción
1729035000,Oct 15 2024 - 11:30pm,complete,N/A,Uruguay,Ecuador,Cristián Garay,10,1.67,1.67,1.50,1.75,0,0,0,0,0,0,"","",6,5,1,0,1,0,0,1,1,0,9,5,4,4,5,1,14,12,55,45,1.02,1.00,1.12,0.85,1.61,33,45,33,11,0,22,56,17,61,7.67,3.77,1.73,3.30,5.75,1.42,2.70,4.33,9.00,2.50,1.50,N/A
1729036800,Oct 16 2024 - 12:00am,complete,N/A,Argentina,Bolivia,Kevin Ortega,10,2.11,1.33,2.19,1.06,6,0,6,3,3,0,"19,43,45'3,69,84,86","",4,0,0,0,1,0,0,0,0,1,12,1,10,1,2,0,10,13,72,28,1.21,0.87,1.82,0.22,2.45,33,73,50,11,6,33,73,28,84,7.00,4.11,1.06,15.00,21.00,1.07,1.25,1.79,2.65,2.50,1.50,Estadio Monumental Antonio Vespucio Liberti
1729039500,Oct 16 2024 - 12:45am,complete,N/A,Brazil,Peru,Esteban Ostojich,10,1.44,0.67,1.56,0.75,4,0,4,1,1,0,"38,54,71,74","",6,1,1,0,5,0,0,1,2,3,14,3,8,2,6,1,10,17,68,32,1.18,0.63,1.76,0.53,1.83,33,56,17,6,6,11,50,28,78,8.22,4.66,1.20,6.50,15.00,1.18,1.75,2.50,4.33,2.75,1.40,N/A
1731618000,Nov 14 2024 - 9:00pm,complete,N/A,Venezuela,Brazil,Andrés José Rojas Noguera,11,1.10,1.60,1.13,1.56,1,1,2,1,0,1,"46","43",3,9,4,1,2,0,1,4,1,1,6,8,5,4,1,4,14,12,33,67,1.04,1.24,0.94,1.10,2.10,40,60,35,15,5,10,60,40,80,9.80,4.70,7.00,3.75,1.55,1.33,2.20,3.50,6.80,2.25,1.57,Estadio Monumental de Maturín
1731627000,Nov 14 2024 - 11:30pm,complete,N/A,Paraguay,Argentina,Anderson Daronco,11,1.30,2.20,1.50,2.19,2,1,3,2,1,1,"19,47","11",6,2,3,0,1,0,1,2,0,1,4,7,2,1,2,6,17,9,23,77,1.08,1.27,0.61,0.86,1.60,15,40,25,5,5,15,55,20,55,8.70,3.50,4.75,3.25,1.85,1.48,2.88,5.00,10.00,2.50,1.50,General Pablo Rojas
1731628800,Nov 15 2024 - 12:00am,complete,N/A,Ecuador,Bolivia,Maximiliano Ramírez,11,1.60,1.20,1.75,1.06,4,0,4,2,2,0,"26,28,49,61","",12,1,0,0,1,1,0,0,1,1,23,2,15,1,8,1,13,5,79,21,0.99,0.81,3.10,0.23,2.10,30,50,45,15,10,30,60,25,65,6.40,4.00,1.17,7.00,19.00,1.16,1.60,2.16,3.80,2.63,1.44,N/A
1731715200,Nov 16 2024 - 12:00am,complete,N/A,Uruguay,Colombia,Kevin Ortega,11,1.60,1.90,1.50,1.38,3,2,5,1,0,1,"57,60,90'11","31,90'6",6,1,4,0,2,0,2,2,1,1,8,10,5,4,3,6,18,14,45,55,1.03,1.44,1.17,1.08,1.90,40,55,40,20,0,15,55,35,70,8.40,4.60,2.10,3.10,3.90,1.51,2.50,5.00,10.00,2.10,1.67,N/A
1731720600,Nov 16 2024 - 1:30am,complete,N/A,Peru,Chile,Wilton Pereira Sampaio,11,0.60,0.50,0.75,0.63,0,0,0,0,0,0,"","",4,8,2,0,3,0,0,2,1,2,9,10,6,5,3,5,10,12,41,59,0.62,1.05,1.32,1.25,2.00,25,65,35,15,0,20,50,40,70,7.90,5.30,2.40,2.63,3.70,1.51,3.60,5.40,11.00,2.63,1.44,Estadio Monumental
1732046400,Nov 19 2024 - 8:00pm,complete,N/A,Bolivia,Paraguay,Andrés Matonte,12,1.09,1.45,1.06,1.50,2,2,4,1,1,0,"15,80","71,90'1",4,1,0,0,0,1,0,0,0,1,9,10,5,4,4,6,7,10,65,35,0.75,1.04,1.14,1.07,2.14,27,50,46,18,9,32,64,27,64,6.45,5.18,1.90,3.00,4.75,1.45,2.88,4.50,9.00,2.38,1.53,Estadio Municipal El Alto
1732057200,Nov 19 2024 - 11:00pm,complete,N/A,Colombia,Ecuador,Esteban Ostojich,12,1.73,1.73,1.38,1.75,0,1,1,1,0,1,"","7",5,2,3,0,2,1,0,3,1,2,17,1,7,1,10,0,12,11,67,33,1.41,1.18,2.15,0.30,1.73,32,41,36,18,5,9,50,37,59,9.18,3.45,1.58,3.90,6.25,1.50,2.46,5.50,11.00,2.50,1.50,Estadio Metropolitano Roberto Meléndez
